number,name,type,type_label,runs_days,source_code,source,dest_code,destination,distance_km,travel_time,num_stops
12245,SMVB DURONTO EXP,DRNT,Duronto,"Tue,Wed,Fri,Sat,Sun",HWH,HOWRAH JN,SMVB,SMVT BENGALURU,1935,29:05,6
22425,VANDE BHARAT EXP,VNDB,Vande Bharat,"Mon,Tue,Thu,Fri,Sat,Sun",AYC,AYODHYA CANTT,ANVT,ANAND VIHAR TERMINAL,629,08:15,6
12259,BKN DURONTO EXP,DRNT,Duronto,"Mon,Wed,Thu,Sun",SDAH,SEALDAH,BKN,BIKANER JN,1924,25:35,12
22430,PTK DLI EXP,SUF,Superfast,"Mon,Tue,Wed,Thu,Sat,Sun",PTK,PATHANKOT,DLI,DELHI JN.,553,09:55,17
12260,SDAH DURONTO,DRNT,Duronto,"Mon,Tue,Thu,Fri",BKN,BIKANER JN,SDAH,SEALDAH,1924,25:20,12
22446,ASR CNB SF EXP,SUF,Superfast,Tue,ASR,AMRITSAR,CNB,KANPUR CENTRAL,897,16:05,14
12261,HOWRAH DURONTO,DRNT,Duronto,"Tue,Wed,Thu,Sun",CSMT,C SHIVAJI MAH T,HWH,HOWRAH JN,1969,27:25,9
22447,VANDE BHARAT EX,VNDB,Vande Bharat,"Mon,Wed,Thu,Fri,Sat,Sun",NDLS,NEW DELHI,AADR,AMB  ANDAURA,412,05:20,7
12262,CSMT DURONTO EX,DRNT,Duronto,"Mon,Tue,Wed,Fri",HWH,HOWRAH JN,CSMT,C SHIVAJI MAH T,1969,26:40,9
22458,VANDE BHARAT EX,VNDB,Vande Bharat,"Mon,Tue,Wed,Fri,Sat,Sun",DDN,DEHRADOON,ANVT,ANAND VIHAR TERMINAL,301,04:45,8
12263,NZM DURONTO,DRNT,Duronto,"Tue,Fri",PUNE,PUNE JN,NZM,HAZRAT NIZAMUDDIN JN,1512,19:50,7
22469,VANDE BHARAT EXP,VNDB,Vande Bharat,"Tue,Wed,Thu,Fri,Sat,Sun",KURJ,KHAJURAHO,NZM,HAZRAT NIZAMUDDIN JN,658,08:20,9
12266,DEE DURONTO EXP,DRNT,Duronto,"Mon,Wed,Sat",JAT,JAMMUTAVI,DEE,DELHI SARAI ROHILLA,578,08:40,3
22470,VANDE BHARAT EXP,VNDB,Vande Bharat,"Tue,Wed,Thu,Fri,Sat,Sun",NZM,HAZRAT NIZAMUDDIN JN,KURJ,KHAJURAHO,658,08:20,9
12268,MMCT DURONTO EXP,DRNT,Duronto,Daily,HAPA,HAPA,MMCT,MUMBAI CENTRAL,814,12:00,5
22474,BDTS BKN SF EXP,SUF,Superfast,Tue,BDTS,BANDRA TERMINUS,BKN,BIKANER JN,1212,19:45,23
12269,MAS NZM DURONTO,DRNT,Duronto,"Mon,Fri",MAS,PURATCHI THALAIVAR DR. MGR CTL,NZM,HAZRAT NIZAMUDDIN JN,2169,28:05,8
22481,JU DEE SF EXP,SUF,Superfast,Daily,JU,JODHPUR JN,DEE,DELHI SARAI ROHILLA,621,10:50,20
12273,NDLS DURONTO EX,DRNT,Duronto,"Mon,Fri",HWH,HOWRAH JN,NDLS,NEW DELHI,1527,21:55,7
22499,VANDE BHARAT EXP,VNDB,Vande Bharat,"Mon,Wed,Thu,Fri,Sat,Sun",DGHR,DEOGHAR,BSB,VARANASI,455,07:20,8
12285,NZM DURONTO,DRNT,Duronto,"Thu,Sun",SC,SECUNDERABAD JN,NZM,HAZRAT NIZAMUDDIN JN,1664,21:50,6
22543,BDTS LKU SF EXP,SUF,Superfast,Tue,BDTS,BANDRA TERMINUS,LKU,LALKUA JN.,1623,26:20,18
12290,CSMT DURONTO EXP,DRNT,Duronto,Daily,NGP,NAGPUR JN.,CSMT,C SHIVAJI MAH T,838,12:00,5
22546,VANDE BHARAT EXP,VNDB,Vande Bharat,"Tue,Wed,Thu,Fri,Sat,Sun",DDN,DEHRADOON,LJN,LUCKNOW,544,08:15,7
12293,PRYJ DURONTO,DRNT,Duronto,"Mon,Fri",LTT,LOKMANYATILAK,PRYJ,PRAYAGRAJ JN,1346,19:20,6
22551,DBG-JUC ANTYODAY EXPRESS,SUF,Superfast,Sat,DBG,DARBHANGA JN,JUC,JALANDHAR CITY,1401,25:45,16
12297,PUNE DURONTO,DRNT,Duronto,"Tue,Fri,Sun",ADI,AHMEDABAD JN,PUNE,PUNE JN,629,09:10,5
22564,UDN-JYG ANTYODAY SF EXP,SUF,Superfast,Sun,UDN,UDHNA JN,JYG,JAYNAGAR,1856,33:55,25
12301,RAJDHANI EXPRES,RAJ,Rajdhani,"Mon,Tue,Wed,Thu,Fri,Sat",HWH,HOWRAH JN,NDLS,NEW DELHI,1449,17:15,9
22626,MAS DOUBLE DECK,SUF,Superfast,Daily,SBC,KSR BENGALURU,MAS,PURATCHI THALAIVAR DR. MGR CTL,354,06:15,13
12302,HWH RAJDHANI,RAJ,Rajdhani,"Mon,Tue,Wed,Thu,Sat,Sun",NDLS,NEW DELHI,HWH,HOWRAH JN,1449,17:05,9
22643,ERS PNBE SF EXP,SUF,Superfast,"Mon,Tue",ERS,ERNAKULAM JN,PNBE,PATNA JN,2781,50:40,45
12306,KOLKATA RAJDHNI,RAJ,Rajdhani,Fri,NDLS,NEW DELHI,HWH,HOWRAH JN,1527,19:25,9
22691,RAJDHANI EXP,RAJ,Rajdhani,Daily,SBC,KSR BENGALURU,NZM,HAZRAT NIZAMUDDIN JN,2374,33:30,16
12310,RJPB TEJAS RAJ,RAJ,Rajdhani,Daily,NDLS,NEW DELHI,RJPB,RAJENDRA NAGAR,998,12:05,7
22692,SBC RAJDHANI,RAJ,Rajdhani,Daily,NZM,HAZRAT NIZAMUDDIN JN,SBC,KSR BENGALURU,2374,33:30,16
12325,GURUMUKHI EXP,SUF,Superfast,Thu,KOAA,KOLKATTA TERMINAL,AADR,AMB  ANDAURA,1846,33:30,20
22706,TPTY HAMSAFAR,SUF,Superfast,Fri,JAT,JAMMUTAVI,TPTY,TIRUPATI,2982,48:55,14
12336,LTT BHAGALPUR EX,SUF,Superfast,"Tue,Sun",LTT,LOKMANYATILAK,BGP,BHAGALPUR,1910,33:50,38
22717,RJT SC SUP EXP,SUF,Superfast,"Mon,Wed,Thu",RJT,RAJKOT,SC,SECUNDERABAD JN,1471,26:00,28
12340,COALFIELD EXP,SUF,Superfast,Daily,DHN,DHANBAD JN,HWH,HOWRAH JN,257,04:35,13
22802,MAS VSKP SF EXP,SUF,Superfast,Sat,MAS,PURATCHI THALAIVAR DR. MGR CTL,VSKP,VISAKHAPATNAM,778,12:30,15
12341,AGNIVEENA EXP,SUF,Superfast,Daily,HWH,HOWRAH JN,ASN,ASANSOL JN.,199,03:10,8
22809,VSKP SF EXP,SUF,Superfast,Mon,PRDP,PARADEEP,VSKP,VISAKHAPATNAM,553,10:00,15
12345,SARAIGHAT EXP,SUF,Superfast,Daily,HWH,HOWRAH JN,GHY,GUWAHATI,998,17:35,18
22823,TEJAS RAJ EXP,RAJ,Rajdhani,"Mon,Tue,Thu,Fri",BBS,BHUBANESWAR,NDLS,NEW DELHI,1797,24:25,15
12389,GAYA MAS EXPRES,SUF,Superfast,Sun,GAYA,GAYA JN,MAS,PURATCHI THALAIVAR DR. MGR CTL,2075,34:50,20
22824,BBS TEJAS RAJ,RAJ,Rajdhani,"Tue,Wed,Thu,Sat",NDLS,NEW DELHI,BBS,BHUBANESWAR,1797,24:30,15
12409,GONDWANA SF EXP,SUF,Superfast,"Mon,Wed,Thu,Fri,Sat",RIG,RAIGARH,NZM,HAZRAT NIZAMUDDIN JN,1632,25:35,36
22831,HWH YPR SF EXP,SUF,Superfast,Wed,HWH,HOWRAH JN,YPR,YESVANTPUR JN.,1906,34:10,22
12416,NDLS INDB EXP,SUF,Superfast,Daily,NDLS,NEW DELHI,INDB,INDORE JN,827,12:15,21
22844,BXR BSP SF EXP,SUF,Superfast,Sat,BXR,BUXAR,BSP,BILASPUR JN.,1085,19:40,29
12418,PRAYAGRAJ EXP,SUF,Superfast,Daily,NDLS,NEW DELHI,PRYJ,PRAYAGRAJ JN,635,08:50,6
22851,MAQ VIVEK SF EXP,SUF,Superfast,Thu,SRC,SANTRAGACHI JN,MAQ,MANGALORE CENTRAL,2485,41:55,40
