number,name,type,type_label,runs_days,source_code,source,dest_code,destination,distance_km,travel_time,num_stops
17323,UBL BANARAS EXP,MEX,Mail/Express,Fri,UBL,SSS HUBBALLI JN,BNRS,BANARAS,2030,38:30,25
17415,HARIPRIYA EXP,MEX,Mail/Express,Daily,TPTY,TIRUPATI,KOP,KOLHAPUR,901,19:05,29
17428,NS TPTY EXPRESS,MEX,Mail/Express,Mon,NS,NARASAPUR,TPTY,TIRUPATI,525,11:50,14
17610,PAU PNBE EXP,MEX,Mail/Express,Thu,PAU,PURNA JN,PNBE,PATNA JN,1737,32:50,19
17667,NED LTT EXP,MEX,Mail/Express,Wed,NED,NANDED,LTT,LOKMANYATILAK,808,15:45,13
18261,BSP YNK EXPRESS,MEX,Mail/Express,Wed,BSP,BILASPUR JN.,YNK,YELAHANKA JN.,1589,29:00,27
18524,BNRS VSKP EXP,MEX,Mail/Express,"Mon,Thu",BNRS,BANARAS,VSKP,VISAKHAPATNAM,1408,28:55,45
18624,HTE IPR EXP,MEX,Mail/Express,Daily,HTE,HATIA,IPR,ISLAMPUR,476,14:05,35
19018,LOK SHAKTI EXP,MEX,Mail/Express,Daily,VDG,VADNAGAR,BDTS,BANDRA TERMINUS,582,11:05,20
19045,TAPTI GANGA EXP,MEX,Mail/Express,"Mon,Wed,Thu,Fri,Sun",ST,SURAT,THE,THAWE JN,1821,34:45,40
19106,BSL - UDN EXPRESS,MEX,Mail/Express,Daily,BSL,BHUSAVAL JN,UDN,UDHNA JN,331,09:00,36
19409,SBIB THAWE EXP,MEX,Mail/Express,"Thu,Sat",SBIB,SABARMATI BG,GKP,GORAKHPUR JN,1563,30:10,30
19607,KOAA MDJN EXP,MEX,Mail/Express,Thu,KOAA,KOLKATTA TERMINAL,MDJN,MADAR JN,1984,41:35,33
19626,BDTS DOZ EXP,MEX,Mail/Express,Mon,BDTS,BANDRA TERMINUS,DOZ,DAURAI,1284,25:05,16
19807,KOTA SIRSA EXP,MEX,Mail/Express,"Tue,Wed,Fri,Sun",KOTA,KOTA JN,SSA,SIRSA,670,13:35,28
19818,JAB RTM EXP,MEX,Mail/Express,Daily,JAB,YAMUNA BRIDGE,RTM,RATLAM JN,693,19:15,66
